,drug,disease,label
0,102.0,343.0,1.0
1,234.0,310.0,1.0
2,194.0,44.0,1.0
3,86.0,126.0,1.0
4,220.0,181.0,1.0
5,245.0,231.0,1.0
6,98.0,92.0,1.0
7,211.0,247.0,1.0
8,83.0,241.0,1.0
9,102.0,364.0,1.0
10,223.0,451.0,1.0
11,56.0,53.0,1.0
12,211.0,405.0,1.0
13,78.0,566.0,1.0
14,64.0,437.0,1.0
15,103.0,35.0,1.0
16,201.0,112.0,1.0
17,7.0,134.0,1.0
18,70.0,354.0,1.0
19,136.0,519.0,1.0
20,227.0,62.0,1.0
21,175.0,496.0,1.0
22,136.0,392.0,1.0
23,147.0,495.0,1.0
24,182.0,284.0,1.0
25,87.0,45.0,1.0
26,252.0,89.0,1.0
27,180.0,419.0,1.0
28,117.0,204.0,1.0
29,64.0,386.0,1.0
30,59.0,315.0,1.0
31,253.0,432.0,1.0
32,31.0,97.0,1.0
33,218.0,245.0,1.0
34,226.0,1.0,1.0
35,173.0,39.0,1.0
36,58.0,32.0,1.0
37,209.0,469.0,1.0
38,19.0,128.0,1.0
39,130.0,32.0,1.0
40,51.0,185.0,1.0
41,74.0,486.0,1.0
42,113.0,74.0,1.0
43,115.0,575.0,1.0
44,157.0,410.0,1.0
45,200.0,289.0,1.0
46,266.0,195.0,1.0
47,259.0,305.0,1.0
48,223.0,39.0,1.0
49,108.0,226.0,1.0
50,84.0,433.0,1.0
51,149.0,68.0,1.0
52,162.0,579.0,1.0
53,162.0,348.0,1.0
54,200.0,20.0,1.0
55,13.0,90.0,1.0
56,130.0,508.0,1.0
57,82.0,222.0,1.0
58,58.0,103.0,1.0
59,149.0,346.0,1.0
60,71.0,287.0,1.0
61,135.0,394.0,1.0
62,67.0,255.0,1.0
63,56.0,143.0,1.0
64,183.0,342.0,1.0
65,129.0,408.0,1.0
66,178.0,295.0,1.0
67,108.0,297.0,1.0
68,53.0,216.0,1.0
69,71.0,36.0,1.0
70,211.0,3.0,1.0
71,242.0,125.0,1.0
72,97.0,194.0,1.0
73,90.0,21.0,1.0
74,108.0,313.0,1.0
75,165.0,94.0,1.0
76,182.0,314.0,1.0
77,90.0,143.0,1.0
78,44.0,212.0,1.0
79,96.0,112.0,1.0
80,243.0,434.0,1.0
81,183.0,28.0,1.0
82,102.0,366.0,1.0
83,213.0,89.0,1.0
84,205.0,456.0,1.0
85,175.0,419.0,1.0
86,135.0,40.0,1.0
87,69.0,147.0,1.0
88,141.0,85.0,1.0
89,170.0,597.0,1.0
90,56.0,355.0,1.0
91,82.0,35.0,1.0
92,229.0,28.0,1.0
93,141.0,470.0,1.0
94,160.0,113.0,1.0
95,11.0,277.0,1.0
96,117.0,375.0,1.0
97,21.0,11.0,1.0
98,79.0,378.0,1.0
99,117.0,516.0,1.0
100,109.0,59.0,1.0
101,226.0,120.0,1.0
102,223.0,208.0,1.0
103,156.0,197.0,1.0
104,28.0,259.0,1.0
105,224.0,9.0,1.0
106,91.0,480.0,1.0
107,52.0,49.0,1.0
108,96.0,150.0,1.0
109,12.0,146.0,1.0
110,120.0,12.0,1.0
111,100.0,279.0,1.0
112,108.0,358.0,1.0
113,134.0,62.0,1.0
114,53.0,235.0,1.0
115,142.0,208.0,1.0
116,89.0,238.0,1.0
117,122.0,560.0,1.0
118,115.0,84.0,1.0
119,83.0,68.0,1.0
120,114.0,51.0,1.0
121,69.0,334.0,1.0
122,191.0,134.0,1.0
123,148.0,282.0,1.0
124,268.0,130.0,1.0
125,44.0,223.0,1.0
126,77.0,216.0,1.0
127,84.0,283.0,1.0
128,8.0,59.0,1.0
129,96.0,59.0,1.0
130,91.0,14.0,1.0
131,242.0,116.0,1.0
132,226.0,226.0,1.0
133,17.0,418.0,1.0
134,87.0,63.0,1.0
135,116.0,245.0,1.0
136,259.0,404.0,1.0
137,57.0,453.0,1.0
138,147.0,520.0,1.0
139,153.0,3.0,1.0
140,193.0,8.0,1.0
141,128.0,419.0,1.0
142,263.0,296.0,1.0
143,183.0,86.0,1.0
144,149.0,305.0,1.0
145,17.0,191.0,1.0
146,96.0,91.0,1.0
147,211.0,205.0,1.0
148,240.0,92.0,1.0
149,206.0,411.0,1.0
150,203.0,63.0,1.0
151,86.0,251.0,1.0
152,71.0,461.0,1.0
153,126.0,426.0,1.0
154,85.0,285.0,1.0
155,65.0,32.0,1.0
156,223.0,1.0,1.0
157,217.0,190.0,1.0
158,131.0,103.0,1.0
159,117.0,59.0,1.0
160,10.0,287.0,1.0
161,70.0,10.0,1.0
162,208.0,378.0,1.0
163,81.0,385.0,1.0
164,139.0,135.0,1.0
165,153.0,1.0,1.0
166,189.0,216.0,1.0
167,211.0,107.0,1.0
168,178.0,105.0,1.0
169,52.0,530.0,1.0
170,207.0,161.0,1.0
171,18.0,50.0,1.0
172,108.0,130.0,1.0
